x	y	showSelected1	PANEL
1	-0.00217510121058019	0.1	1
2	-0.0963784804790482	0.1	1
3	-0.400499154176037	0.1	1
4	-1.61204527676818	0.1	1
5	-5.3130237118285	0.1	1
6	-15.3679354472242	0.1	1
1	-0.00874442083103524	0.2	1
2	-0.388850824416755	0.2	1
3	-1.57312422088683	0.2	1
4	-5.19621471714081	0.2	1
5	-15.7359122325188	0.2	1
1	-0.019843634037709	0.3	1
2	-0.0341040002640602	0.3	1
3	-0.0234287779205726	0.3	1
4	-0.00468359544088469	0.3	1
5	-0.0944204204168297	0.3	1
6	-0.389635388607279	0.3	1
7	-1.57575361393608	0.3	1
8	-5.20410625776315	0.3	1
9	-15.7359122325188	0.3	1
1	-0.0357116092366138	0.4	1
2	-0.0315147774166144	0.4	1
3	-0.0120958648541086	0.4	1
4	-0.530354627856846	0.4	1
5	-2.03281934602867	0.4	1
6	-6.57554568796364	0.4	1
7	-15.7359122325188	0.4	1
1	-0.0567120150482362	0.5	1
2	-0.161971352117337	0.5	1
3	-0.723472405160249	0.5	1
4	-2.63334647404545	0.5	1
5	-8.37715856266455	0.5	1
6	-16.2130334872384	0.5	1
1	-0.0833694137964847	0.6	1
2	-0.326592491957729	0.6	1
3	-1.36020690846147	0.6	1
4	-4.55699728348568	0.6	1
5	-14.1446833396748	0.6	1
6	-16.2130334872384	0.6	1
1	-0.116428165188605	0.7	1
2	-0.50697363008591	0.7	1
3	-1.95847084864303	0.7	1
4	-6.35248647367063	0.7	1
5	-16.2130334872384	0.7	1
1	-0.156950007151062	0.8	1
2	-0.700974004867794	0.8	1
3	-2.56427401142335	0.8	1
4	-8.16994037768964	0.8	1
5	-16.2130334872384	0.8	1
1	-0.206482029711917	0.9	1
2	-0.91205270307148	0.9	1
3	-3.2073797906314	0.9	1
4	-10.099259971555	0.9	1
5	-16.2130334872384	0.9	1
1	-0.267363179002222	1	1
2	-1.14730106772269	1	1
3	-3.91703652166353	1	1
4	-12.2282335821299	1	1
5	-16.2130334872384	1	1
1	-0.343330667630739	1.1	1
2	-1.41836307798882	1.1	1
3	-4.73164087434452	1.1	1
4	-14.6657039642683	1.1	1
5	-16.2130334872384	1.1	1
1	-0.440862440319501	1.2	1
2	-1.74515540605439	1.2	1
3	-5.71246106382092	1.2	1
4	-16.2130334872384	1.2	1
1	-0.572678115410946	1.3	1
2	-2.16626231176659	1.3	1
3	-6.97589001306414	1.3	1
4	-16.2130334872384	1.3	1
1	-0.769635025894039	1.4	1
2	-2.77458778043284	1.4	1
3	-8.80088352195498	1.4	1
4	-16.2130334872384	1.4	1
1	-1.15035212467837	1.5	1
2	-3.92621749066989	1.5	1
3	-12.2557455980064	1.5	1
4	-16.2130334872384	1.5	1
1	-1.53462425346978	1.6	1
2	-5.08066063297432	1.6	1
3	-15.7936753698213	1.6	1
4	-16.2130334872384	1.6	1
1	-0.889934134723936	1.7	1
2	-3.14038677949079	1.7	1
3	-9.89828135988716	1.7	1
4	-16.2130334872384	1.7	1
1	-0.643587668958134	1.8	1
2	-2.3872320151008	1.8	1
3	-7.6388107296309	1.8	1
4	-16.2130334872384	1.8	1
1	-0.490408310627297	1.9	1
2	-1.90548128391033	1.9	1
3	-6.1935046985763	1.9	1
4	-16.2130334872384	1.9	1
1	-0.380753402425582	2	1
2	-1.54591709083619	2	1
3	-5.11455604571293	2	1
4	-16.2130334872384	2	1
1	-0.296840990414098	2.1	1
2	-1.25480475662389	2.1	1
3	-4.24032489061734	2.1	1
4	-13.1982949083019	2.1	1
5	-16.2130334872384	2.1	1
1	-0.23025270832204	2.2	1
2	-1.00642284080232	2.2	1
3	-3.4925786372729	2.2	1
4	-10.9548567196029	2.2	1
5	-16.2130334872384	2.2	1
1	-0.176345816348021	2.3	1
2	-0.786368446949965	2.3	1
3	-2.82564664160293	2.3	1
4	-8.95406031669272	2.3	1
5	-16.2130334872384	2.3	1
1	-0.132300568001111	2.4	1
2	-0.585898322416987	2.4	1
3	-2.20768300628824	2.4	1
4	-7.10015525420382	2.4	1
5	-16.2130334872384	2.4	1
1	-0.0962896239297902	2.5	1
2	-0.400008079106235	2.5	1
3	-1.61040939599463	2.5	1
4	-5.30811430420615	2.5	1
5	-16.2130334872384	2.5	1
1	-0.0670755572297304	2.6	1
2	-0.227973144480002	2.6	1
3	-0.997528456131152	2.6	1
4	-3.46573541833621	2.6	1
5	-10.8743261338727	2.6	1
6	-16.2130334872384	2.6	1
1	-0.0437969128544612	2.7	1
2	-0.0788737727128027	2.7	1
3	-0.30006755284801	2.7	1
4	-1.26637445511927	2.7	1
5	-4.27509688269393	2.7	1
6	-13.3027774436164	2.7	1
7	-16.2130334872384	2.7	1
1	-0.0258466025876024	2.8	1
2	-3.50438995672598e-05	2.8	1
3	-0.00765026873973028	2.8	1
4	-0.163853253437211	2.8	1
5	-0.731830991979705	2.8	1
6	-2.65896650946669	2.8	1
7	-8.45401854506528	2.8	1
8	-14.8330225529284	2.8	1
1	-0.0127994817666469	2.9	1
2	-0.397018955527108	2.9	1
3	-1.60044267999378	2.9	1
4	-5.27820310912391	2.9	1
5	-16.2130334872384	2.9	1
1	-0.00436809701595638	3	1
2	-0.192448149107701	3	1
3	-0.854464660454175	3	1
4	-3.03280827142791	3	1
5	-9.57554575186706	3	1
6	-15.7359122325188	3	1
1	-0.000375761976243025	3.1	1
2	-0.312597457235433	3.1	1
3	-1.31097316735314	3.1	1
4	-4.40910634097612	3.1	1
5	-13.6917361888645	3.1	1
6	-15.0086132165989	3.1	1
1	-0.000741201599959344	3.2	1
2	-0.926599214363442	3.2	1
3	-3.251403983368	3.2	1
4	-10.2313318582601	3.2	1
5	-15.0086132165989	3.2	1
1	-0.00547179282245757	3.3	1
2	-0.00397959770413534	3.3	1
3	-0.446474897168942	3.3	1
4	-1.76347156922896	3.3	1
5	-5.76741977989573	3.3	1
6	-14.9574940492315	3.3	1
1	-0.0146641701732622	3.4	1
2	-0.206565245853071	3.4	1
3	-0.912389735999415	3.4	1
4	-3.20840010031803	3.4	1
5	-10.1023213377644	3.4	1
6	-15.5140634829024	3.4	1
1	-0.0285123046802065	3.5	1
2	-0.00280677987263001	3.5	1
3	-0.0676706466032698	3.5	1
