x	y	label	hjust	showSelected1	PANEL
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	0.1	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	0.2	1
0.8	-0.628318530717959	 max at x=-4.7 f(x)=1 	1	0.3	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	0.4	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	0.5	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	0.6	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	0.7	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	0.8	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	0.9	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.1	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.2	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.3	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.4	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.5	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.6	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.7	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.8	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	1.9	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.1	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.2	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.3	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.4	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.5	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.6	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	2.7	1
-0.8	-0.628318530717959	 min at x=-83.3 f(x)=-1 	0	2.8	1
-0.8	-0.628318530717959	 min at x=-1.6 f(x)=-1 	0	2.9	1
0.8	-0.628318530717959	 max at x=-4.7 f(x)=1 	1	3	1
-0.8	-0.628318530717959	 min at x=-20.4 f(x)=-1 	0	3.1	1
0.8	13.1946891450771	 max at x=20.4 f(x)=1 	1	3.2	1
-0.8	13.1946891450771	 min at x=17.3 f(x)=-1 	0	3.3	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	3.4	1
-0.8	-0.628318530717959	 min at x=-1.6 f(x)=-1 	0	3.5	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	3.6	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	3.7	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	3.8	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	3.9	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.1	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.2	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.3	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.4	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.5	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.6	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.7	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.8	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	4.9	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.1	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.2	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.3	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.4	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.5	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.6	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.7	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	5.8	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	5.9	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	6	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	6.1	1
0.8	-0.628318530717959	 max at x=-4.7 f(x)=1 	1	6.2	1
-0.8	13.1946891450771	 min at x=61.3 f(x)=-1 	0	6.3	1
0.8	13.1946891450771	 max at x=14.1 f(x)=1 	1	6.4	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	6.5	1
0.8	13.1946891450771	 max at x=14.1 f(x)=1 	1	6.6	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	6.7	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	6.8	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	6.9	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.1	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.2	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.3	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.4	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.5	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.6	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.7	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.8	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	7.9	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.1	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.2	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.3	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.4	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.5	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.6	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.7	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.8	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	8.9	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	9	1
0.8	13.1946891450771	 max at x=26.7 f(x)=1 	1	9.1	1
-0.8	4.71238898038469	 min at x=4.7 f(x)=-1 	0	9.2	1
0.8	1.5707963267949	 max at x=1.6 f(x)=1 	1	9.3	1
0.8	-0.628318530717959	 max at x=-29.8 f(x)=1 	1	9.4	1
