x	xend	y	yend	clickSelects	PANEL
0.1	0.1	10.9955742875643	-0.785398163397448	0.1	2
0.2	0.2	4.71238898038469	-0.785398163397448	0.2	2
0.3	0.3	-0.785398163397448	-0.785398163397448	0.3	2
0.4	0.4	4.71238898038469	-0.785398163397448	0.4	2
0.5	0.5	1.5707963267949	-0.785398163397448	0.5	2
0.6	0.6	1.5707963267949	-0.785398163397448	0.6	2
0.7	0.7	1.5707963267949	-0.785398163397448	0.7	2
0.8	0.8	1.5707963267949	-0.785398163397448	0.8	2
0.9	0.9	1.5707963267949	-0.785398163397448	0.9	2
1	1	1.5707963267949	-0.785398163397448	1	2
1.1	1.1	1.5707963267949	-0.785398163397448	1.1	2
1.2	1.2	1.5707963267949	-0.785398163397448	1.2	2
1.3	1.3	1.5707963267949	-0.785398163397448	1.3	2
1.4	1.4	1.5707963267949	-0.785398163397448	1.4	2
1.5	1.5	1.5707963267949	-0.785398163397448	1.5	2
1.6	1.6	1.5707963267949	-0.785398163397448	1.6	2
1.7	1.7	1.5707963267949	-0.785398163397448	1.7	2
1.8	1.8	1.5707963267949	-0.785398163397448	1.8	2
1.9	1.9	1.5707963267949	-0.785398163397448	1.9	2
2	2	1.5707963267949	-0.785398163397448	2	2
2.1	2.1	1.5707963267949	-0.785398163397448	2.1	2
2.2	2.2	1.5707963267949	-0.785398163397448	2.2	2
2.3	2.3	1.5707963267949	-0.785398163397448	2.3	2
2.4	2.4	1.5707963267949	-0.785398163397448	2.4	2
2.5	2.5	1.5707963267949	-0.785398163397448	2.5	2
2.6	2.6	1.5707963267949	-0.785398163397448	2.6	2
2.7	2.7	1.5707963267949	-0.785398163397448	2.7	2
2.8	2.8	-0.785398163397448	-0.785398163397448	2.8	2
2.9	2.9	-0.785398163397448	-0.785398163397448	2.9	2
3	3	-0.785398163397448	-0.785398163397448	3	2
3.1	3.1	-0.785398163397448	-0.785398163397448	3.1	2
3.2	3.2	16.4933614313464	-0.785398163397448	3.2	2
3.3	3.3	16.4933614313464	-0.785398163397448	3.3	2
3.4	3.4	7.85398163397448	-0.785398163397448	3.4	2
3.5	3.5	-0.785398163397448	-0.785398163397448	3.5	2
3.6	3.6	4.71238898038469	-0.785398163397448	3.6	2
3.7	3.7	4.71238898038469	-0.785398163397448	3.7	2
3.8	3.8	4.71238898038469	-0.785398163397448	3.8	2
3.9	3.9	4.71238898038469	-0.785398163397448	3.9	2
4	4	4.71238898038469	-0.785398163397448	4	2
4.1	4.1	4.71238898038469	-0.785398163397448	4.1	2
4.2	4.2	4.71238898038469	-0.785398163397448	4.2	2
4.3	4.3	4.71238898038469	-0.785398163397448	4.3	2
4.4	4.4	4.71238898038469	-0.785398163397448	4.4	2
4.5	4.5	4.71238898038469	-0.785398163397448	4.5	2
4.6	4.6	4.71238898038469	-0.785398163397448	4.6	2
4.7	4.7	4.71238898038469	-0.785398163397448	4.7	2
4.8	4.8	4.71238898038469	-0.785398163397448	4.8	2
4.9	4.9	4.71238898038469	-0.785398163397448	4.9	2
5	5	4.71238898038469	-0.785398163397448	5	2
5.1	5.1	4.71238898038469	-0.785398163397448	5.1	2
5.2	5.2	4.71238898038469	-0.785398163397448	5.2	2
5.3	5.3	4.71238898038469	-0.785398163397448	5.3	2
5.4	5.4	4.71238898038469	-0.785398163397448	5.4	2
5.5	5.5	4.71238898038469	-0.785398163397448	5.5	2
5.6	5.6	4.71238898038469	-0.785398163397448	5.6	2
5.7	5.7	4.71238898038469	-0.785398163397448	5.7	2
5.8	5.8	4.71238898038469	-0.785398163397448	5.8	2
5.9	5.9	7.85398163397448	-0.785398163397448	5.9	2
6	6	1.5707963267949	-0.785398163397448	6	2
6.1	6.1	1.5707963267949	-0.785398163397448	6.1	2
6.2	6.2	-0.785398163397448	-0.785398163397448	6.2	2
6.3	6.3	16.4933614313464	-0.785398163397448	6.3	2
6.4	6.4	14.1371669411541	-0.785398163397448	6.4	2
6.5	6.5	10.9955742875643	-0.785398163397448	6.5	2
6.6	6.6	14.1371669411541	-0.785398163397448	6.6	2
6.7	6.7	7.85398163397448	-0.785398163397448	6.7	2
6.8	6.8	7.85398163397448	-0.785398163397448	6.8	2
6.9	6.9	7.85398163397448	-0.785398163397448	6.9	2
7	7	7.85398163397448	-0.785398163397448	7	2
7.1	7.1	7.85398163397448	-0.785398163397448	7.1	2
7.2	7.2	7.85398163397448	-0.785398163397448	7.2	2
7.3	7.3	7.85398163397448	-0.785398163397448	7.3	2
7.4	7.4	7.85398163397448	-0.785398163397448	7.4	2
7.5	7.5	7.85398163397448	-0.785398163397448	7.5	2
7.6	7.6	7.85398163397448	-0.785398163397448	7.6	2
7.7	7.7	7.85398163397448	-0.785398163397448	7.7	2
7.8	7.8	7.85398163397448	-0.785398163397448	7.8	2
