colour	x	y	showSelected1
#000000	0	0	f(x) objective
#000000	0.0789344887836631	0.0788525454074765	f(x) objective
#000000	0.157868977567326	0.157214042967251	f(x) objective
#000000	0.236803466350989	0.234596502792369	f(x) objective
#000000	0.315737955134653	0.310518031874169	f(x) objective
#000000	0.394672443918316	0.384505835032011	f(x) objective
#000000	0.473606932701979	0.456099159207016	f(x) objective
#000000	0.552541421485642	0.524852162764468	f(x) objective
#000000	0.631475910269305	0.590336691936528	f(x) objective
#000000	0.710410399052968	0.652144947115187	f(x) objective
#000000	0.789344887836632	0.709892022391333	f(x) objective
#000000	0.868279376620295	0.763218302525169	f(x) objective
#000000	0.947213865403958	0.811791702421021	f(x) objective
#000000	1.02614835418762	0.855309735160412	f(x) objective
#000000	1.10508284297128	0.893501395714874	f(x) objective
#000000	1.18401733175495	0.926128848607841	f(x) objective
#000000	1.26295182053861	0.952988909015839	f(x) objective
#000000	1.34188630932227	0.973914308085538	f(x) objective
#000000	1.42082079810594	0.988774734587003	f(x) objective
#000000	1.4997552868896	0.997477646416339	f(x) objective
#000000	1.57868977567326	0.999968846894156	f(x) objective
#000000	1.65762426445693	0.996232822271007	f(x) objective
#000000	1.73655875324059	0.986292838338003	f(x) objective
#000000	1.81549324202425	0.970210795540986	f(x) objective
#000000	1.89442773080792	0.94808684350051	f(x) objective
#000000	1.97336221959158	0.920058757338175	f(x) objective
#000000	2.05229670837524	0.886301079693209	f(x) objective
#000000	2.1312311971589	0.847024033772299	f(x) objective
#000000	2.21016568594257	0.802472214201578	f(x) objective
#000000	2.28910017472623	0.752923063833377	f(x) objective
#000000	2.36803466350989	0.698685145993307	f(x) objective
#000000	2.44696915229356	0.640096222927107	f(x) objective
#000000	2.52590364107722	0.577521152413589	f(x) objective
#000000	2.60483812986088	0.511349615642327	f(x) objective
#000000	2.68377261864455	0.441993690505579	f(x) objective
#000000	2.76270710742821	0.369885285416547	f(x) objective
#000000	2.84164159621187	0.29547344963467	f(x) objective
#000000	2.92057608499554	0.219221576847691	f(x) objective
#000000	2.9995105737792	0.141604519424952	f(x) objective
#000000	3.07844506256286	0.0631056313126736	f(x) objective
#000000	3.15737955134653	-0.015786242013637	f(x) objective
#000000	3.23631404013019	-0.094579807794845	f(x) objective
#000000	3.31524852891385	-0.1727843854741	f(x) objective
#000000	3.39418301769752	-0.249912962370308	f(x) objective
#000000	3.47311750648118	-0.325485226510212	f(x) objective
#000000	3.55205199526484	-0.399030557732341	f(x) objective
#000000	3.63098648404851	-0.470090958436003	f(x) objective
#000000	3.70992097283217	-0.538223905724289	f(x) objective
#000000	3.78885546161583	-0.603005107179614	f(x) objective
#000000	3.86778995039949	-0.664031143110431	f(x) objective
#000000	3.94672443918316	-0.720921978814716	f(x) objective
#000000	4.02565892796682	-0.773323331215339	f(x) objective
#000000	4.10459341675048	-0.820908875129262	f(x) objective
#000000	4.18352790553415	-0.863382275431223	f(x) objective
#000000	4.26246239431781	-0.900479032456752	f(x) objective
#000000	4.34139688310147	-0.931968129152435	f(x) objective
#000000	4.42033137188514	-0.957653469715929	f(x) objective
#000000	4.4992658606688	-0.977375100766707	f(x) objective
#000000	4.57820034945246	-0.991010207442792	f(x) objective
#000000	4.65713483823613	-0.998473878220379	f(x) objective
