group	x	y	showSelected2	row_in_group	na_group
1	3.15737955134653	1.91802887012009	1.33333333333333	51	50
1	3.22052714237346	1.82750146153779	1.33333333333333	52	50
1	3.28367473340039	1.73802372085137	1.33333333333333	53	50
1	3.34682232442732	1.64959564806084	1.33333333333333	54	50
1	3.40996991545425	1.5622172431662	1.33333333333333	55	50
1	3.47311750648118	1.47588850616745	1.33333333333333	56	50
1	3.53626509750811	1.39060943706459	1.33333333333333	57	50
1	3.59941268853504	1.30638003585762	1.33333333333333	58	50
1	3.66256027956197	1.22320030254654	1.33333333333333	59	50
1	3.7257078705889	1.14107023713135	1.33333333333333	60	50
1	3.78885546161583	1.05998983961205	1.33333333333333	61	50
1	3.85200305264276	0.979959109988636	1.33333333333333	62	50
1	3.91515064366969	0.900978048261113	1.33333333333333	63	50
1	3.97829823469662	0.823046654429483	1.33333333333333	64	50
1	4.04144582572355	0.746164928493741	1.33333333333333	65	50
1	4.10459341675048	0.670332870453891	1.33333333333333	66	50
1	4.16774100777741	0.595550480309926	1.33333333333333	67	50
1	4.23088859880435	0.521817758061852	1.33333333333333	68	50
1	4.29403618983128	0.449134703709669	1.33333333333333	69	50
1	4.35718378085821	0.377501317253376	1.33333333333333	70	50
1	4.42033137188514	0.306917598692971	1.33333333333333	71	50
1	4.48347896291207	0.237383548028457	1.33333333333333	72	50
1	4.546626553939	0.168899165259832	1.33333333333333	73	50
1	4.60977414496593	0.101464450387097	1.33333333333333	74	50
1	4.67292173599286	0.0350794034102533	1.33333333333333	75	50
1	4.73606932701979	-0.0302559756707028	1.33333333333333	76	50
1	4.79921691804672	-0.0945416868557674	1.33333333333333	77	50
1	4.86236450907365	-0.157777730144943	1.33333333333333	78	50
1	4.92551210010058	-0.219964105538231	1.33333333333333	79	50
1	4.98865969112751	-0.281100813035626	1.33333333333333	80	50
1	5.05180728215444	-0.341187852637133	1.33333333333333	81	50
1	5.11495487318137	-0.40022522434275	1.33333333333333	82	50
1	5.1781024642083	-0.458212928152477	1.33333333333333	83	50
1	5.24125005523523	-0.515150964066315	1.33333333333333	84	50
1	5.30439764626216	-0.571039332084262	1.33333333333333	85	50
1	5.36754523728909	-0.625878032206321	1.33333333333333	86	50
1	5.43069282831602	-0.679667064432489	1.33333333333333	87	50
1	5.49384041934296	-0.732406428762768	1.33333333333333	88	50
1	5.55698801036989	-0.784096125197157	1.33333333333333	89	50
1	5.62013560139682	-0.834736153735656	1.33333333333333	90	50
1	5.68328319242375	-0.884326514378266	1.33333333333333	91	50
1	5.74643078345068	-0.932867207124985	1.33333333333333	92	50
1	5.80957837447761	-0.980358231975815	1.33333333333333	93	50
1	5.87272596550454	-1.02679958893076	1.33333333333333	94	50
1	5.93587355653147	-1.07219127798981	1.33333333333333	95	50
1	5.9990211475584	-1.11653329915297	1.33333333333333	96	50
1	6.06216873858533	-1.15982565242024	1.33333333333333	97	50
1	6.12531632961226	-1.20206833779162	1.33333333333333	98	50
