x	y	showSelected1	PANEL
5	-6.39268162142385	6.1	2
6	-16.2130191439424	6.1	2
1	-0.00150435063260782	6.2	2
2	-0.0542686488012109	6.2	2
3	-0.146165915887475	6.2	2
4	-0.651630255692023	6.2	2
5	-2.41212784669633	6.2	2
6	-7.7134989442169	6.2	2
7	-15.7358978892228	6.2	2
1	-6.13977784329671e-05	6.3	2
2	-0.00939490512792635	6.3	2
3	-0.605594763951643	6.3	2
4	-2.26919221265136	6.3	2
5	-7.28468658300598	6.3	2
6	-14.5315036081005	6.3	2
1	-0.00296988371053075	6.4	2
2	-0.150937474089296	6.4	2
3	-0.67364240694012	6.4	2
4	-2.48012060500186	6.4	2
5	-7.91747880032736	6.4	2
6	-15.2587766345031	6.4	2
1	-0.0102887829313589	6.5	2
2	-1.35511027648381	6.5	2
3	-4.54168968685552	6.5	2
4	-14.0729810228329	6.5	2
5	-15.3679211039282	6.5	2
1	-0.0221700778265179	6.6	2
2	-0.0111192282847137	6.6	2
3	-0.906458324521093	6.6	2
4	-3.19044162850897	6.6	2
5	-10.0484417611008	6.6	2
6	-15.2587766345031	6.6	2
1	-0.0388717864358834	6.7	2
2	-0.049012078924488	6.7	2
3	-0.112130541118095	6.7	2
4	-0.48483667454093	6.7	2
5	-1.8875950275221	6.7	2
6	-6.13984074273026	6.7	2
7	-15.5140491396064	6.7	2
1	-0.0607816178014915	6.8	2
2	-0.188132670966162	6.8	2
3	-0.836438841738062	6.8	2
4	-2.97805737111982	6.8	2
5	-9.41129337578278	6.8	2
6	-15.5140491396064	6.8	2
1	-0.0884561741054591	6.9	2
2	-0.355984191390131	6.9	2
3	-1.46184987928853	6.9	2
4	-4.86220470959774	6.9	2
5	-14.9228719789169	6.9	2
6	-15.5140491396064	6.9	2
1	-0.122684958044183	7	2
2	-0.53859653056797	7	2
3	-2.05891418493592	7	2
4	-6.6538340092133	7	2
5	-15.5140491396064	7	2
1	-0.164596940097162	7.1	2
2	-0.735123386859383	7.1	2
3	-2.66905221706699	7.1	2
4	-8.48427612794481	7.1	2
5	-15.5140491396064	7.1	2
1	-0.215845549181865	7.2	2
2	-0.949669645993354	7.2	2
3	-3.32117428184129	7.2	2
4	-10.440641089743	7.2	2
5	-15.5140491396064	7.2	2
1	-0.278950257955668	7.3	2
2	-1.18996663633582	7.3	2
3	-4.04538850041914	7.3	2
4	-12.6127118109645	7.3	2
5	-15.5140491396064	7.3	2
1	-0.357983531157072	7.4	2
2	-1.46868599935407	7.4	2
3	-4.88272752470733	7.4	2
4	-15.2350645389553	7.4	2
5	-15.5140491396064	7.4	2
1	-0.460127190152267	7.5	2
2	-1.80785104853158	7.5	2
3	-5.90057969569163	7.5	2
4	-15.5140491396064	7.5	2
1	-0.599876916654297	7.6	2
2	-2.25135998301976	7.6	2
3	-7.23118892061529	7.6	2
4	-15.5140491396064	7.6	2
1	-0.81424864651439	7.7	2
2	-2.91057555741359	7.7	2
3	-9.20884727559481	7.7	2
4	-15.5140491396064	7.7	2
1	-1.26796491794694	7.8	2
2	-4.27987665772352	7.8	2
3	-13.3163425281748	7.8	2
4	-15.5140491396064	7.8	2
1	-1.33722210022728	7.9	2
2	-4.48795963242151	7.9	2
3	-13.9492275933741	7.9	2
4	-15.5140491396064	7.9	2
1	-0.837136905764723	8	2
2	-2.98017871651792	8	2
3	-9.41765713178371	8	2
4	-15.5140491396064	8	2
1	-0.613422291182582	8.1	2
2	-2.29357378100378	8.1	2
3	-7.35783248216631	8.1	2
4	-15.5140491396064	8.1	2
1	-0.469601953968772	8.2	2
2	-1.83851295787899	8.2	2
3	-5.99257789629953	8.2	2
4	-15.5140491396064	8.2	2
1	-0.365143170247321	8.3	2
2	-1.49309126439646	8.3	2
3	-4.95599136261289	8.3	2
4	-15.5140491396064	8.3	2
1	-0.284591166155849	8.4	2
2	-1.21054024728158	8.4	2
3	-4.10725716662135	8.4	2
4	-12.7978112182907	8.4	2
5	-15.5140491396064	8.4	2
1	-0.220394921999258	8.5	2
2	-0.967732203519587	8.5	2
3	-3.3757595628771	8.5	2
4	-10.6043984510362	8.5	2
5	-15.5140491396064	8.5	2
1	-0.168309322884743	8.6	2
2	-0.751469565641583	8.6	2
3	-2.71907914658741	8.6	2
4	-8.6343573244946	8.6	2
5	-15.5140491396064	8.6	2
1	-0.125723116983229	8.7	2
2	-0.553705939974225	8.7	2
3	-2.10661128761017	8.7	2
4	-6.79693119457128	8.7	2
5	-15.5140491396064	8.7	2
1	-0.0909293391582615	8.8	2
2	-0.370042221184054	8.8	2
3	-1.50972532487996	8.8	2
4	-5.00592332534094	8.8	2
5	-15.2350645389553	8.8	2
6	-15.5140491396064	8.8	2
1	-0.062765440003864	8.9	2
2	-0.200781484873636	8.9	2
3	-0.888843434202119	8.9	2
4	-3.1370815153443	8.9	2
5	-9.88836628243297	8.9	2
6	-15.5140491396064	8.9	2
1	-0.0404195286542807	9	2
2	-0.0581383325458434	9	2
3	-0.171168604165841	9	2
4	-0.763960800347041	9	2
5	-2.75725820356804	9	2
6	-8.74889456387607	9	2
7	-15.5140491396064	9	2
1	-0.0233192200616753	9.1	2
2	-0.00511546207201122	9.1	2
3	-0.0266839093637016	9.1	2
4	-0.000184183551032537	9.1	2
5	-0.00870196205830654	9.1	2
6	-0.377594990549915	9.1	2
7	-1.53526974453526	9.1	2
8	-5.08259809599272	9.1	2
9	-15.1334722050918	9.1	2
1	-0.0110650456431825	9.2	2
2	-0.944203673461604	9.2	2
