xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
0.833333333333333	1.16666666666667	1	Frame	1	Frame	1	1
1.16666666666667	1.5	1.33333333333333 1	Frame	1.33333333333333	Frame	1	1
1.5	1.83333333333333	1.66666666666667 1	Frame	1.66666666666667	Frame	1	1
1.83333333333333	2.16666666666667	2 1	Frame	2	Frame	1	1
2.16666666666667	2.5	2.33333333333333 1	Frame	2.33333333333333	Frame	1	1
2.5	2.83333333333333	2.66666666666667 1	Frame	2.66666666666667	Frame	1	1
2.83333333333333	3.16666666666667	3 1	Frame	3	Frame	1	1
3.16666666666667	3.5	3.33333333333333 1	Frame	3.33333333333333	Frame	1	1
3.5	3.83333333333333	3.66666666666667 1	Frame	3.66666666666667	Frame	1	1
3.83333333333333	4.16666666666667	4 1	Frame	4	Frame	1	1
4.16666666666667	4.5	4.33333333333333 1	Frame	4.33333333333333	Frame	1	1
4.5	4.83333333333333	4.66666666666667 1	Frame	4.66666666666667	Frame	1	1
4.83333333333333	5.16666666666667	5 1	Frame	5	Frame	1	1
5.16666666666667	5.5	5.33333333333333 1	Frame	5.33333333333333	Frame	1	1
5.5	5.83333333333333	5.66666666666667 1	Frame	5.66666666666667	Frame	1	1
5.83333333333333	6.16666666666667	6 1	Frame	6	Frame	1	1
6.16666666666667	6.5	6.33333333333333 1	Frame	6.33333333333333	Frame	1	1
6.5	6.83333333333333	6.66666666666667 1	Frame	6.66666666666667	Frame	1	1
6.83333333333333	7.16666666666667	7 1	Frame	7	Frame	1	1
7.16666666666667	7.5	7.33333333333333 1	Frame	7.33333333333333	Frame	1	1
7.5	7.83333333333333	7.66666666666667 1	Frame	7.66666666666667	Frame	1	1
7.83333333333333	8.16666666666667	8 1	Frame	8	Frame	1	1
8.16666666666667	8.5	8.33333333333333 1	Frame	8.33333333333333	Frame	1	1
8.5	8.83333333333333	8.66666666666667 1	Frame	8.66666666666667	Frame	1	1
8.83333333333333	9.16666666666667	9 1	Frame	9	Frame	1	1
9.16666666666667	9.5	9.33333333333333 1	Frame	9.33333333333333	Frame	1	1
9.5	9.83333333333333	9.66666666666667 1	Frame	9.66666666666667	Frame	1	1
0.833333333333333	1.16666666666667	1 1.33333333333333	Frame	1	Frame	1.33333333333333	1
1.16666666666667	1.5	1	Frame	1.33333333333333	Frame	1.33333333333333	1
1.5	1.83333333333333	1.66666666666667 1.33333333333333	Frame	1.66666666666667	Frame	1.33333333333333	1
1.83333333333333	2.16666666666667	2 1.33333333333333	Frame	2	Frame	1.33333333333333	1
2.16666666666667	2.5	2.33333333333333 1.33333333333333	Frame	2.33333333333333	Frame	1.33333333333333	1
2.5	2.83333333333333	2.66666666666667 1.33333333333333	Frame	2.66666666666667	Frame	1.33333333333333	1
2.83333333333333	3.16666666666667	3 1.33333333333333	Frame	3	Frame	1.33333333333333	1
3.16666666666667	3.5	3.33333333333333 1.33333333333333	Frame	3.33333333333333	Frame	1.33333333333333	1
3.5	3.83333333333333	3.66666666666667 1.33333333333333	Frame	3.66666666666667	Frame	1.33333333333333	1
3.83333333333333	4.16666666666667	4 1.33333333333333	Frame	4	Frame	1.33333333333333	1
4.16666666666667	4.5	4.33333333333333 1.33333333333333	Frame	4.33333333333333	Frame	1.33333333333333	1
4.5	4.83333333333333	4.66666666666667 1.33333333333333	Frame	4.66666666666667	Frame	1.33333333333333	1
4.83333333333333	5.16666666666667	5 1.33333333333333	Frame	5	Frame	1.33333333333333	1
5.16666666666667	5.5	5.33333333333333 1.33333333333333	Frame	5.33333333333333	Frame	1.33333333333333	1
5.5	5.83333333333333	5.66666666666667 1.33333333333333	Frame	5.66666666666667	Frame	1.33333333333333	1
5.83333333333333	6.16666666666667	6 1.33333333333333	Frame	6	Frame	1.33333333333333	1
6.16666666666667	6.5	6.33333333333333 1.33333333333333	Frame	6.33333333333333	Frame	1.33333333333333	1
6.5	6.83333333333333	6.66666666666667 1.33333333333333	Frame	6.66666666666667	Frame	1.33333333333333	1
6.83333333333333	7.16666666666667	7 1.33333333333333	Frame	7	Frame	1.33333333333333	1
7.16666666666667	7.5	7.33333333333333 1.33333333333333	Frame	7.33333333333333	Frame	1.33333333333333	1
7.5	7.83333333333333	7.66666666666667 1.33333333333333	Frame	7.66666666666667	Frame	1.33333333333333	1
